Land Rover,19999.0crossover,106,4.4,Gas,yes,2005,Range Rover Sport,full,

Land Rover,40900.0crossover,90,3.6,Diesel,yes,2011,Range Rover Sport,full,

Land Rover,52000.0crossover,70,4.4,Diesel,yes,2012,Range Rover,full,

Land Rover,43500.0crossover,54,5,Petrol,yes,2012,Range Rover Sport,full,

Land Rover,28999.0crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full,

Land Rover,27500.0other,174,3.6,Diesel,yes,2008,Range Rover,full,

Land Rover,22999.0crossover,167,4.2,Gas,yes,2006,Range Rover Evoque,full,

Land Rover,119000.0crossover,38,4.4,Diesel,yes,2013,Range Rover,full,

Land Rover,33000.0crossover,140,5,Petrol,yes,2010,Range Rover Sport,full,

Land Rover,95000.0crossover,60,5,Petrol,yes,2014,Range Rover,full,

Land Rover,85900.0crossover,60,3,Diesel,yes,2013,Range Rover Sport,full,

Land Rover,164999.0crossover,1,4.4,Diesel,yes,2016,Range Rover,full,

Land Rover,38000.0crossover,130,3.6,Diesel,yes,2010,Range Rover,full,

Land Rover,84999.0crossover,81,5,Petrol,yes,2013,Range Rover,full,

