Land Rover,89000.0crossover,80,5,Petrol,yes,2013,Range Rover,full,

Land Rover,45500.0crossover,112,3,Diesel,yes,2012,Range Rover Sport,full,

Land Rover,47500.0crossover,63,4.4,Diesel,yes,2012,Range Rover,full,

Land Rover,95555.0crossover,60,4.4,Diesel,yes,2014,Range Rover,full,

Land Rover,19500.0crossover,169,4.2,Gas,yes,2007,Range Rover Sport,full,

Land Rover,53500.0crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full,

Land Rover,53500.0crossover,57,3,Diesel,yes,2013,Range Rover Sport,full,

Land Rover,30000.0other,155,3.6,Diesel,yes,2008,Range Rover Sport,full,

Land Rover,147000.0crossover,15,5,Petrol,yes,2015,Range Rover Sport,full,

Land Rover,44000.0crossover,99,5,Petrol,yes,2010,Range Rover,full,

Land Rover,168000.0crossover,6,4.4,Diesel,yes,2015,Range Rover,full,

Land Rover,107000.0crossover,82,4.4,Diesel,yes,2014,Range Rover,full,

Land Rover,43999.0crossover,56,2.2,Diesel,yes,2013,Range Rover Evoque,full,

